type,name,imageUrl,estMph,pokemonSpeed,heightM,weightKg
Pokemon,Geodude,https://64.media.tumblr.com/f44596084f864aac6bbbb8d29dbc78de/tumblr_owqym4LAXP1s87y5ho2_500.gifv,9,20,0.4,20.0
Pokemon,Butterfree,https://c.tenor.com/A8kgsqhltPIAAAAC/pokemon-pokemon-butterfree.gif,5.5,70,1.1,32.0
Pokemon,Mewtwo,https://c.tenor.com/azTQvG1vOQcAAAAM/mewth.gif,999,130,2.0,122.0
Pokemon,Rattata,https://c.tenor.com/JI2kGjoQ3_MAAAAC/pokemon-rattata.gif,8,72,0.3,3.5
Pokemon,Shuckle,https://c.tenor.com/RPa5qGmDlokAAAAC/shuckle-pokemon.gif,4,5,0.6,20.5
Pokemon,Piplup,https://giffiles.alphacoders.com/211/211233.gif,5.6,40,0.4,5.2
Pokemon,Caterpie,https://gifimage.net/wp-content/uploads/2017/10/caterpie-gif.gif,1,45,0.3,2.9
Pokemon,Joltik,https://i.gifer.com/JSAH.gif,5,65,0.1,0.6
Creature,Sonic,https://i.giphy.com/media/PJiqz1RHkdtGE/200w.gif,767,180,1.0,24.9
Pokemon,Bulbasaur,https://i.imgur.com/IGFlpee.gif,6,45,0.7,6.9
Pokemon,Igglybuff,https://i.pinimg.com/originals/34/9b/7b/349b7bac832741e2ddbf7f6aea9478f8.gif,4,20,0.3,1.0
Creature,Minion,https://i.pinimg.com/originals/a7/05/fc/a705fc453f08c7392e3774b0fa58e968.jpg,6,60,0.7,0.0
Pokemon,Munchlax,https://i.pinimg.com/originals/af/e7/e8/afe7e8e37f13d88d667aa75959ea8686.gif,4,5,0.6,105.0
Pokemon,Mudkip,https://i.pinimg.com/originals/d2/10/4a/d2104a96b186d0342ea6b43835cdf265.gif,5,40,0.4,7.6
Pokemon,Wooper,https://media1.giphy.com/media/10xtayLurXe7Ju/giphy.gif,6,15,0.4,8.6
Pokemon,Snorlax,https://media2.giphy.com/media/CXaDzPow0SJqM/giphy.gif,10,30,2.1,460.0
Pokemon,Eevee,https://media4.giphy.com/media/TqK5V0YnrWaR2/200.gif,30,55,0.3,6.5
Pokemon,Beedrill,https://pa1.narvii.com/5754/439a7863c64df1163feebe905622db43890867d0_hq.gif,19.9,75,1.0,29.5
Pokemon,Growlithe,https://pa1.narvii.com/5910/e04563fa2032607ba784e0522f7f8a6a1d097b5c_hq.gif,7.5,60,0.7,19.0
Pokemon,Rockruff,https://pa1.narvii.com/6733/8c01335951a65db6da5df9bacf485d654cbabf71_hq.gif,7.5,60,0.5,9.2
Pokemon,Pichu,https://thumbs.gfycat.com/BriskFreshAmericanalligator-size_restricted.gif,5,60,0.3,2.0
Pokemon,Greninja,https://66.media.tumblr.com/42a17ff206b6f0be9060ffe5987b3c7a/tumblr_o72fhu8xsU1sr6y44o1_500.gif,60,122,1.5,40.0
